Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
518,Tristan Vukcevic,Projected,8.0,16.0,2.5,6.9,3.5,4.5,1.8,8.7,3.1,0.9,1.5,2.6,3.9,22.0,.497,.370,.785,vukcetr01
519,Dean Wade,Projected,3.4,8.1,2.3,6.3,0.7,1.1,1.4,7.0,2.1,1.2,0.7,0.8,3.0,9.8,.420,.368,.647,wadede01
520,Franz Wagner,Projected,8.9,18.6,1.8,5.7,4.5,5.2,1.1,6.0,4.7,1.3,0.4,2.3,2.6,24.0,.478,.308,.864,wagnefr01
521,Moritz Wagner,Projected,8.2,14.5,1.4,4.1,4.4,5.7,2.6,8.8,2.7,1.2,0.6,2.6,3.8,22.2,.564,.344,.774,wagnemo01
522,Jabari Walker,Projected,5.5,11.1,1.2,3.4,2.6,3.5,2.9,10.2,1.9,1.2,0.4,1.5,3.7,14.7,.491,.352,.739,walkeja01
523,Jarace Walker,Projected,5.4,11.2,2.3,5.6,1.5,2.1,0.9,7.0,3.6,1.6,0.8,2.2,3.3,14.5,.476,.411,.708,walkeja02
524,Lonnie Walker IV,Projected,6.9,16.0,3.2,8.7,1.9,2.4,0.6,4.6,3.1,1.0,0.6,1.8,2.3,19.0,.432,.370,.798,walkelo01
525,Cason Wallace,Projected,4.7,9.6,1.7,4.3,0.7,0.9,1.3,4.5,3.2,2.1,0.7,1.1,2.7,11.8,.491,.389,.806,wallaca01
526,Keaton Wallace,Projected,5.1,12.0,2.0,5.8,1.2,1.4,0.8,4.4,5.4,1.8,0.7,2.3,2.8,13.4,.423,.340,.875,wallake01
527,Jordan Walsh,Projected,3.7,8.9,1.5,5.0,1.2,1.7,2.0,6.6,2.4,1.2,0.9,1.6,2.8,10.2,.420,.309,.699,walshjo01
528,Ja'Kobe Walter,Projected,5.5,12.8,2.2,6.0,2.3,2.8,1.9,5.6,2.9,1.4,0.4,1.6,3.0,15.4,.427,.364,.802,walteja01
529,Kel'el Ware,Projected,6.7,11.9,1.0,3.1,1.3,1.9,2.9,11.7,1.8,1.0,1.7,1.5,2.7,15.7,.557,.336,.715,wareke01
530,P.J. Washington,Projected,6.0,13.3,2.0,5.6,2.3,3.2,1.5,7.6,2.6,1.2,1.1,2.0,2.7,16.2,.449,.354,.718,washipj01
531,TyTy Washington Jr.,Projected,5.3,13.3,1.6,5.8,1.6,2.3,1.2,5.1,4.2,1.2,0.3,1.5,2.1,13.8,.396,.282,.691,washity02
532,Lindy Waters III,Projected,4.8,12.0,3.1,8.6,0.7,0.9,1.0,5.3,2.7,1.1,0.6,1.1,2.9,13.5,.400,.361,.772,waterli01
